rank,company_name,sector,risk_score,risk_tier,total_esg_risk_score,controversy_score,source,gw_proxy_score,comp_proxy,comp_linguistic,comp_divergence,comp_credibility_inv,comp_controversy_ratio
814,A.O. SMITH CORPORATION,Industrials,18.27,Very Low Risk,25.4,1.0,SP500,0,0.0,50.0,17.885028294134845,50.0,3.9243078492810053
815,ASIAN PAINTS LTD.,Basic Materials,18.27,Very Low Risk,25.4,1.0,NIFTY50,0,0.0,50.0,17.885028294134845,50.0,3.9243078492810053
816,NORDSON CORP,Industrials,18.16,Very Low Risk,24.9,1.0,SP500,0,0.0,48.08522804254897,18.753233551131682,50.0,4.197434901572329
817,POWER GRID CORPORATION OF INDIA LTD.,Utilities,18.07,Very Low Risk,22.1,1.0,NIFTY50,0,0.0,40.89226059425453,23.61518299031396,50.0,5.955334988252588
818,RESMED INC.,Healthcare,17.93,Very Low Risk,26.4,1.0,SP500,0,0.0,50.0,16.14861778014117,50.0,3.409090909719712
819,CINCINNATI FINANCIAL CORP,Financial Services,17.91,Very Low Risk,25.6,1.0,SP500,0,0.0,48.03251249520912,17.537746191336105,50.0,3.8180443554977455
820,BAJAJ FINSERV LTD.,Financial Services,17.9,Very Low Risk,26.5,1.0,NIFTY50,0,0.0,50.0,15.974976728741801,50.0,3.359707852115669
821,TRANSDIGM GROUP INCORPORATED,Industrials,17.86,Very Low Risk,38.7,2.0,SP500,0,0.0,46.11678531147198,14.753740833601032,50.0,8.177044266058566
822,SBI LIFE INSURANCE COMPANY LTD.,Financial Services,17.85,Very Low Risk,24.8,1.0,NIFTY50,0,0.0,45.84295167832001,18.926874602531047,50.0,4.253381894541146
823,DOVER CORPORATION,Industrials,17.81,Very Low Risk,25.9,1.0,SP500,0,0.0,48.08522804254897,17.016823037138007,50.0,3.661726243020029
824,OCCIDENTAL PETROLEUM CORPORATION,Energy,17.47,Very Low Risk,41.7,2.0,SP500,0,0.0,50.0,9.54450929162001,50.0,6.8925504802984
825,SKYWORKS SOLUTIONS INC,Technology,17.4,Very Low Risk,28.0,1.0,SP500,0,0.0,50.0,13.370360957751288,50.0,2.661290323129119
826,EMERSON ELECTRIC CO.,Industrials,17.27,Very Low Risk,28.4,1.0,SP500,0,0.0,50.0,12.675796752153826,50.0,2.487505679761883
827,GRASIM INDUSTRIES LTD.,Basic Materials,17.02,Very Low Risk,43.1,2.0,NIFTY50,0,0.0,50.0,7.113534572028875,50.0,6.35431480114665
828,"CF INDUSTRIES HOLDING, INC.",Basic Materials,16.98,Very Low Risk,29.3,1.0,SP500,0,0.0,50.0,11.113027289559515,50.0,2.1138390404339127
829,PINNACLE WEST CAPITAL CORPORATION,Utilities,16.51,Very Low Risk,30.8,1.0,SP500,0,0.0,50.0,8.508411518569005,50.0,1.5395894431825337
830,MICROCHIP TECHNOLOGY INC,Technology,16.19,Very Low Risk,31.8,1.0,SP500,0,0.0,50.0,6.77200100457533,50.0,1.1868533173981142
831,DIVI'S LABORATORIES LTD.,Healthcare,15.88,Very Low Risk,32.8,1.0,NIFTY50,0,0.0,50.0,5.0355904905816615,50.0,0.8556254919598469
832,STEEL DYNAMICS INC,Basic Materials,15.54,Very Low Risk,33.0,1.0,SP500,0,0.0,48.12118578269842,4.688308387782925,50.0,0.7917888565110136
833,"EOG RESOURCES, INC.",Energy,15.45,Very Low Risk,34.2,1.0,SP500,0,0.0,50.0,2.604615770990513,50.0,0.42444821743244354
834,FORTIVE CORPORATION,Technology,15.27,Very Low Risk,34.8,1.0,SP500,0,0.0,50.0,1.5627694625943178,50.0,0.25027808683211816
835,FMC CORPORATION,Basic Materials,14.61,Very Low Risk,30.7,1.0,SP500,0,0.0,37.1376580784327,8.682052569968377,50.0,1.576126931129826
